Y	M	D	H	T
2021	1	19	8	12.62
2021	1	19	9	15.08
2021	1	19	10	17.07
2021	1	19	11	18.47
2021	1	19	12	19.48
2021	1	19	13	19.92
2021	1	19	14	19.65
2021	1	19	15	18.4
2021	1	19	16	15.79
2021	1	19	17	12.05
2021	1	19	18	10.32
2021	1	19	19	9.37
2021	1	19	20	7.48
2021	1	19	21	5.65
2021	1	19	22	4.87
2021	1	19	23	4.34
2021	1	20	0	4.01
2021	1	20	1	4.15
2021	1	20	2	4.86
2021	1	20	3	4.59
2021	1	20	4	3.53
2021	1	20	5	3.2
2021	1	20	6	3.31
2021	1	20	7	6.14
2021	1	20	8	9.46
2021	1	20	9	12.27
2021	1	20	10	14.96
2021	1	20	11	17.05
2021	1	20	12	18.28
2021	1	20	13	19.01
2021	1	20	14	19.12
2021	1	20	15	18.37
2021	1	20	16	16.05
2021	1	20	17	13
2021	1	20	18	11.21
2021	1	20	19	9.55
2021	1	20	20	8.51
2021	1	20	21	7.67
2021	1	20	22	7.1
2021	1	20	23	6.01
2021	1	21	0	5.15
2021	1	21	1	5.34
2021	1	21	2	4.96
2021	1	21	3	4.29
2021	1	21	4	3.63
2021	1	21	5	3.08
2021	1	21	6	3.62
2021	1	21	7	8.58
2021	1	21	8	12.65
2021	1	21	9	15.72
2021	1	21	10	18.21
2021	1	21	11	20.06
2021	1	21	12	21.19
2021	1	21	13	21.62
2021	1	21	14	21.23
2021	1	21	15	19.94
2021	1	21	16	16.33
2021	1	21	17	11.38
2021	1	21	18	9.93
2021	1	21	19	8.55
2021	1	21	20	7.27
2021	1	21	21	6.23
2021	1	21	22	5.49
2021	1	21	23	4.95
2021	1	22	0	4.51
2021	1	22	1	4.15
2021	1	22	2	3.84
2021	1	22	3	3.55
2021	1	22	4	3.25
2021	1	22	5	3.02
2021	1	22	6	4.12
2021	1	22	7	10.2
2021	1	22	8	14.67
2021	1	22	9	18.33
2021	1	22	10	20.37
2021	1	22	11	22.03
2021	1	22	12	22.96
2021	1	22	13	23.19
2021	1	22	14	22.52
2021	1	22	15	21.01
2021	1	22	16	17.32
2021	1	22	17	11.71
2021	1	22	18	9.74
2021	1	22	19	8.41
2021	1	22	20	7.49
2021	1	22	21	6.87
2021	1	22	22	6.23
2021	1	22	23	5.56
2021	1	23	0	4.95
2021	1	23	1	4.39
2021	1	23	2	4.05
2021	1	23	3	4.11
2021	1	23	4	4.3
2021	1	23	5	4.33
2021	1	23	6	5.17
2021	1	23	7	11.06
2021	1	23	8	15.65
2021	1	23	9	18.76
2021	1	23	10	20.5
